"rgb_colors:0","rgb_colors:1","rgb_colors:2","z","Points:0","Points:1","Points:2"
0,0,0,0.005,0.795,-0.195,0.005
0,0,0,0.005,0.645,-0.145,0.005
0,0,0,0.005,0.655,-0.145,0.005
0,0,0,0.005,0.665,-0.145,0.005
0,0,0,0.005,0.675,-0.145,0.005
0,0,0,0.005,0.685,-0.145,0.005
0,0,0,0.005,0.695,-0.145,0.005
0,0,0,0.005,0.705,-0.145,0.005
0,0,0,0.005,0.715,-0.145,0.005
0,0,0,0.005,0.645,-0.095,0.005
0,0,0,0.005,0.655,-0.095,0.005
0,0,0,0.005,0.665,-0.095,0.005
0,0,0,0.005,0.675,-0.095,0.005
0,0,0,0.005,0.685,-0.095,0.005
0,0,0,0.005,0.695,-0.095,0.005
0,0,0,0.005,0.705,-0.095,0.005
0,0,0,0.005,0.715,-0.095,0.005
0,0,0,0.005,0.725,-0.145,0.005
0,0,0,0.005,0.735,-0.145,0.005
0,0,0,0.005,0.745,-0.145,0.005
0,0,0,0.005,0.755,-0.145,0.005
0,0,0,0.005,0.765,-0.145,0.005
0,0,0,0.005,0.775,-0.145,0.005
0,0,0,0.005,0.785,-0.145,0.005
0,0,0,0.005,0.795,-0.145,0.005
0,0,0,0.005,0.725,-0.095,0.005
0,0,0,0.005,0.735,-0.095,0.005
0,0,0,0.005,0.745,-0.095,0.005
0,0,0,0.005,0.755,-0.095,0.005
0,0,0,0.005,0.765,-0.095,0.005
0,0,0,0.005,0.775,-0.095,0.005
0,0,0,0.005,0.785,-0.095,0.005
0,0,0,0.005,0.795,-0.095,0.005
0,0,0,0.005,0.645,-0.035,0.005
0,0,0,0.005,0.655,-0.035,0.005
0,0,0,0.005,0.665,-0.035,0.005
0,0,0,0.005,0.675,-0.035,0.005
0,0,0,0.005,0.685,-0.035,0.005
0,0,0,0.005,0.695,-0.035,0.005
0,0,0,0.005,0.705,-0.035,0.005
0,0,0,0.005,0.715,-0.035,0.005
0,0,0,0.005,0.725,-0.035,0.005
0,0,0,0.005,0.735,-0.035,0.005
0,0,0,0.005,0.745,-0.035,0.005
0,0,0,0.005,0.755,-0.035,0.005
0,0,0,0.005,0.765,-0.035,0.005
0,0,0,0.005,0.775,-0.035,0.005
0,0,0,0.005,0.785,-0.035,0.005
0,0,0,0.005,0.795,-0.035,0.005
0,0,0,0.005,0.805,-0.145,0.005
0,0,0,0.895,0.395,-0.485,0.895
0,0,0,0.905,0.395,-0.485,0.905
